history,counts,length,lengthsq,category
M0,1,16.69,278.56,
M0,1,19.48,379.47,
F0,1,18.74,351.19,
M0,1,19.44,377.91,
M0,1,21.02,441.84,
F0,1,24.44,597.31,
F0,1,19.68,387.30,
F0,1,24.37,593.90,
F0,1,21.06,443.52,
M0,1,17.36,301.37,
F0,1,20.9,436.81,
F0,1,20,400.00,
M0,1,17.67,312.23,
M0,1,19.76,390.46,
M0,1,17.55,308.00,
F0,1,22.95,526.70,
F0,1,19.88,395.21,
M0,1,16.49,271.92,
F0,1,21.49,461.82,
F0,1,20.07,402.80,
M0,1,18.89,356.83,
M0,1,20.86,435.14,
M0,1,17.91,320.77,
M0,1,17.36,301.37,
M0,1,21.45,460.10,
M0,1,19.6,384.16,
F0,1,23.22,539.17,
M0,1,19.88,395.21,
M0,1,19.44,377.91,
F0,1,26.61,708.09,
F0,1,21.14,446.90,
F0,1,18.11,327.97,
F0,1,19.88,395.21,
M0,1,18.03,325.08,
F0,1,22.36,499.97,
F0,1,19.01,361.38,
F0,1,23.14,535.46,
M0,1,21.85,477.42,
F0,1,21.92,480.49,
M0,1,17.2,295.84,
F0,1,22.67,513.93,
M0,1,19.29,372.10,
M0,1,19.21,369.02,
F0,1,26.92,724.69,
F0,1,22.95,526.70,
F0,1,21.25,451.56,
F0,1,22.36,499.97,
F0,1,22.67,513.93,
F0,1,20.98,440.16,
F0,1,19.92,396.81,
F0,1,15.55,241.80,
M0,1,19.09,364.43,
F0,1,18.66,348.20,
F0,1,21.49,461.82,
M0,1,19.17,367.49,
F0,1,22.12,489.29,
M0,1,15.31,234.40,
F0,1,22.99,528.54,
F0,1,18.58,345.22,
M0,1,15.19,230.74,
F0,1,20.94,438.48,
F0,1,19.52,381.03,
F0,1,18.97,359.86,
F0,1,27.63,763.42,
F0,1,23.14,535.46,
F0,1,19.52,381.03,
F0,1,23.62,557.90,
F0,1,21.96,482.24,
F0,1,25.78,664.61,
F0,1,25.55,652.80,
F0,1,27.24,742.02,
F0,1,22.12,489.29,
F0,1,23.81,566.92,
F0,1,23.81,566.92,
F0,1,24.33,591.95,
F0,1,24.01,576.48,
M0,1,22.51,506.70,
F0,1,20.74,430.15,
F0,1,20.7,428.49,
M0,1,22.95,526.70,
M0,1,20.07,402.80,
F0,1,18.7,349.69,
M0,1,22.91,524.87,
M0,1,24.17,584.19,
M0,1,20.07,402.80,
M0,1,23.7,561.69,
M0,1,21.25,451.56,
M0,1,21.33,454.97,
M0,1,20.55,422.30,
M0,1,20.78,431.81,
F0,1,25.74,662.55,
F0,1,22.91,524.87,
M0,1,15.74,247.75,
F0,1,23.62,557.90,
F0,1,21.49,461.82,
M0,1,17.16,294.47,
M0,1,21.65,468.72,
M0,1,16.41,269.29,
M0,1,18.18,330.51,
M0,1,20.94,438.48,
F0,1,20.78,431.81,
F0,1,18.3,334.89,
F0,1,23.62,557.90,
M0,1,21.73,472.19,
F0,1,22.99,528.54,
M0,1,18.5,342.25,
F0,1,20.66,426.84,
F0,1,18.66,348.20,
F0,1,25.59,654.85,
M0,1,19.29,372.10,
M0,1,21.25,451.56,
FF,1,28.42,807.70,
F0,1,25.98,674.96,
F0,1,22.55,508.50,
F0,1,22.91,524.87,
MM,1,22.75,517.56,
M0,1,19.88,395.21,
F0,1,20.35,414.12,
F0,1,21.18,448.59,
M0,1,20.23,409.25,
M0,1,23.03,530.38,
M0,1,22.83,521.21,
M0,1,17.24,297.22,
F0,1,23.07,532.22,
M0,1,18.81,353.82,
M0,1,17.4,302.76,
M0,1,22.24,494.62,
M0,1,19.76,390.46,
U0,1,17,289.00,
M0,1,21.85,477.42,
F0,1,16.33,266.67,
F0,1,25.66,658.44,
M0,1,22.24,494.62,
M0,1,19.29,372.10,
M0,1,21.73,472.19,
M0,1,20.66,426.84,
M0,1,17.83,317.91,
F0,1,22.91,524.87,
F0,1,23.62,557.90,
M0,1,18.11,327.97,
M0,1,17.48,305.55,
M0,1,15.9,252.81,
F0,1,23.81,566.92,
F0,1,20.23,409.25,
M0,1,15.74,247.75,
M0,1,14.96,223.80,
M0,1,15.43,238.08,
F0,1,18.03,325.08,
F0,1,19.88,395.21,
F0,1,21.65,468.72,
M0,1,19.37,375.20,
M0,1,22.04,485.76,
F0,1,18.97,359.86,
M0,1,21.33,454.97,
F0,1,22.44,503.55,
M0,1,19.29,372.10,
M0,1,17.79,316.48,
M0,1,15.43,238.08,
M0,1,17.32,299.98,
F0,1,19.88,395.21,
F0,1,17.79,316.48,
F0,1,18.26,333.43,
M0,1,22.44,503.55,
F0,1,22.83,521.21,
F0,1,25.27,638.57,
F0,1,24.88,619.01,
F0,1,26.37,695.38,
F0,1,25.11,630.51,
M0,1,15.35,235.62,
F0,1,22.28,496.40,
F0,1,19.17,367.49,
M0,1,17.79,316.48,
F0,1,23.54,554.13,
F0,1,25.47,648.72,
M0,1,23.5,552.25,
M0,1,20.82,433.47,
M0,1,21.06,443.52,
M0,1,21.57,465.26,
M0,1,24.09,580.33,
F0,1,19.96,398.40,
F0,1,20.35,414.12,
F0,1,22.63,512.12,
M0,1,21.65,468.72,
M0,1,20.86,435.14,
F0,1,23.62,557.90,
M0,1,15.86,251.54,
F0,1,22.24,494.62,
M0,1,19.37,375.20,
F0,1,25.47,648.72,
M0,1,21.33,454.97,
F0,1,19.09,364.43,
M0,1,20.86,435.14,
M0,1,24.33,591.95,
M0,1,21.14,446.90,
M0,1,20.15,406.02,
M0,1,17.59,309.41,
F0,1,26.57,705.96,
F0,1,20.35,414.12,
M0,1,21.73,472.19,
F0,1,25.59,654.85,
F0,1,23.62,557.90,
F0,1,21.96,482.24,
F0,1,20.94,438.48,
F0,1,25.47,648.72,
FF,1,23.97,574.56,
F0,1,22.91,524.87,
F0,1,21.06,443.52,
F0,1,22.04,485.76,
M0,1,19.84,393.63,
F0,1,19.68,387.30,
M0,1,20.86,435.14,
F0,1,19.68,387.30,
M0,1,22.55,508.50,
M0,1,19.44,377.91,
F0,1,23.22,539.17,
M0,1,21.73,472.19,
M0,1,16.61,275.89,
M0,1,19.96,398.40,
F0,1,18.58,345.22,
F0,1,20.86,435.14,
M0,1,19.44,377.91,
F0,1,19.76,390.46,
M0,1,15.47,239.32,
F0,1,17.91,320.77,
M0,1,16.73,279.89,
F0,1,17.12,293.09,
M0,1,16.02,256.64,
M0,1,16.33,266.67,
F0,1,20.07,402.80,
M0,1,16.81,282.58,
F0,1,19.37,375.20,
M0,1,20.55,422.30,
F0,1,20.07,402.80,
F0,1,17.79,316.48,
F0,1,22.44,503.55,
M0,1,20.15,406.02,
M0,1,16.61,275.89,
F0,1,26.29,691.16,
F0,1,22.12,489.29,
M0,1,20.15,406.02,
F0,1,23.81,566.92,
F0,1,23.93,572.64,
M0,1,17.79,316.48,
M0,1,20.39,415.75,
M0,1,19.05,362.90,
F0,1,23.58,556.02,
FF,1,21.18,448.59,
M0,1,21.06,443.52,
F0,1,20.15,406.02,
F0,1,23.38,546.62,
M0,1,19.4,376.36,
F0,1,24.21,586.12,
F0,1,20.31,412.50,
M0,1,19.17,367.49,
M0,1,17.08,291.73,
F0,1,19.17,367.49,
M0,1,19.76,390.46,
F0,1,25,625.00,
M0,1,20.82,433.47,
M0,1,17.48,305.55,
M0,1,17.32,299.98,
F0,1,18.38,337.82,
F0,1,19.76,390.46,
M0,1,19.48,379.47,
F0,1,19.21,369.02,
F0,1,21.18,448.59,
F0,1,19.68,387.30,
M0,1,14.76,217.86,
M0,1,16.02,256.64,
M0,1,16.25,264.06,
M0,1,14.17,200.79,
F0,1,18.18,330.51,
M0,1,22.44,503.55,
M0,1,16.37,267.98,
F0,1,19.29,372.10,
M0,1,18.11,327.97,
M0,1,16.53,273.24,
F0,1,22.2,492.84,
F0,1,25.7,660.49,
F0,1,18.7,349.69,
F0,1,22.51,506.70,
M0,1,23.85,568.82,
M0,1,22.91,524.87,
M0,1,20.27,410.87,
M0,1,18.7,349.69,
F0,1,21.02,441.84,
M0,1,19.37,375.20,
M0,1,17.44,304.15,
M0,1,21.65,468.72,
F0,1,26.77,716.63,
F0,1,23.18,537.31,
M0,1,17.2,295.84,
F0,1,24.92,621.01,
F0,1,24.8,615.04,
M0,1,16.49,271.92,
F0,1,18.97,359.86,
F0,1,20.27,410.87,
M0,1,17.71,313.64,
M0,1,15.9,252.81,
F0,1,27.16,737.67,
F0,1,27.95,781.20,
F0,1,23.34,544.76,
M0,1,18.11,327.97,
F0,1,24.76,613.06,
F0,1,27.24,742.02,
M0,1,15.98,255.36,
M0,1,20.23,409.25,
F0,1,20.15,406.02,
M0,1,23.22,539.17,
F0,1,20.51,420.66,
M0,1,22.95,526.70,
F0,1,25.39,644.65,
M0,1,20.15,406.02,
M0,1,22.91,524.87,
M0,1,19.48,379.47,
M0,1,16.1,259.21,
F0,1,27.16,737.67,
M0,1,26.37,695.38,
F0,1,25.62,656.38,
M0,1,24.92,621.01,
F0,1,23.62,557.90,
F0,1,25.47,648.72,
F0,1,23.97,574.56,
M0,1,20.35,414.12,
F0,1,23.81,566.92,
F0,1,23.77,565.01,
F0,1,19.4,376.36,
F0,1,19.72,388.88,
F0,1,20.55,422.30,
F0,1,22.71,515.74,
F0,1,20,400.00,
F0,1,22.55,508.50,
M0,1,20.15,406.02,
F0,1,23.62,557.90,
F0,1,24.29,590.00,
M0,1,20.86,435.14,
M0,1,22.2,492.84,
F0,1,19.96,398.40,
F0,1,22.32,498.18,
F0,1,25.07,628.50,
M0,1,21.53,463.54,
F0,1,23.03,530.38,
M0,1,19.68,387.30,
F0,1,20.23,409.25,
F0,1,24.05,578.40,
M0,1,20.62,425.18,
F0,1,25.51,650.76,
M0,1,21.25,451.56,
F0,1,25.27,638.57,
F0,1,24.21,586.12,
F0,1,24.92,621.01,
F0,1,24.6,605.16,
F0,1,24.96,623.00,
M0,1,19.68,387.30,
F0,1,21.73,472.19,
M0,1,23.38,546.62,
F0,1,23.3,542.89,
F0,1,19.52,381.03,
F0,1,20.86,435.14,
M0,1,20.47,419.02,
F0,1,22.08,487.53,
F0,1,21.57,465.26,
F0,1,22.87,523.04,
F0,1,24.4,595.36,
M0,1,20.07,402.80,
M0,1,21.25,451.56,
F0,1,23.85,568.82,
F0,1,21.81,475.68,
F0,1,19.52,381.03,
F0,1,23.3,542.89,
F0,1,20.23,409.25,
F0,1,24.8,615.04,
F0,1,23.22,539.17,
M0,1,20.15,406.02,
F0,1,21.25,451.56,
M0,1,16.69,278.56,
F0,1,23.77,565.01,
F0,1,22.59,510.31,
M0,1,16.29,265.36,
F0,1,25,625.00,
F0,1,22.83,521.21,
F0,1,23.14,535.46,
F0,1,24.72,611.08,
M0,1,21.45,460.10,
M0,1,15.94,254.08,
F0,1,26.73,714.49,
F0,1,22.67,513.93,
F0,1,25.62,656.38,
F0,1,23.62,557.90,
M0,1,20.86,435.14,
F0,1,22.63,512.12,
F0,1,22.24,494.62,
F0,1,22.95,526.70,
M0,1,23.81,566.92,
F0,1,23.7,561.69,
F0,1,24.8,615.04,
F0,1,19.76,390.46,
F0,1,24.33,591.95,
F0,1,24.88,619.01,
F0,1,21.29,453.26,
F0,1,23.34,544.76,
F0,1,18.74,351.19,
M0,1,21.85,477.42,
M0,1,19.96,398.40,
F0,1,27.32,746.38,
F0,1,25.35,642.62,
F0,1,25.35,642.62,
F0,1,25.59,654.85,
M0,1,20.9,436.81,
F0,1,22.87,523.04,
F0,1,23.89,570.73,
F0,1,25.74,662.55,
M0,1,21.65,468.72,
F0,1,23.85,568.82,
F0,1,22.2,492.84,
F0,1,22.59,510.31,
F0,1,21.96,482.24,
F0,1,23.97,574.56,
M0,1,20.9,436.81,
M0,1,20.82,433.47,
F0,1,25.9,670.81,
F0,1,25.78,664.61,
F0,1,22.59,510.31,
M0,1,17.51,306.60,
F0,1,22.24,494.62,
F0,1,27.28,744.20,
M0,1,23.62,557.90,
F0,1,24.56,603.19,
F0,1,21.06,443.52,
F0,1,20.86,435.14,
M0,1,20.78,431.81,
F0,1,19.88,395.21,
F0,1,23.22,539.17,
F0,1,19.21,369.02,
F0,1,21.73,472.19,
M0,1,21.45,460.10,
F0,1,24.48,599.27,
F0,1,24.52,601.23,
F0,1,23.38,546.62,
F0,1,23.77,565.01,
F0,1,22.44,503.55,
M0,1,22.04,485.76,
F0,1,21.02,441.84,
F0,1,21.41,458.39,
FF,1,26.18,685.39,
F0,1,22.83,521.21,
F0,1,25.98,674.96,
F0,1,22.99,528.54,
F0,1,19.48,379.47,
M0,1,20.62,425.18,
F0,1,18.11,327.97,
M0,1,21.96,482.24,
M0,1,19.52,381.03,
F0,1,20.66,426.84,
M0,1,20.39,415.75,
M0,1,19.68,387.30,
F0,1,23.14,535.46,
F0,1,22.24,494.62,
F0,1,26.77,716.63,
F0,1,20.47,419.02,
F0,1,24.4,595.36,
F0,1,21.06,443.52,
M0,1,24.25,588.06,
M0,1,19.56,382.59,
F0,1,25.11,630.51,
M0,1,19.84,393.63,
F0,1,20.39,415.75,
F0,1,22.83,521.21,
F0,1,21.92,480.49,
F0,1,25.55,652.80,
F0,1,23.7,561.69,
M0,1,19.52,381.03,
F0,1,24.17,584.19,
F0,1,21.45,460.10,
M0,1,16.85,283.92,
F0,1,23.03,530.38,
F0,1,25.31,640.60,
F0,1,27.75,770.06,
F0,1,21.61,466.99,
F0,1,27.44,752.95,
F0,1,22.32,498.18,
F0,1,20.27,410.87,
F0,1,23.26,541.03,
F0,1,25.03,626.50,
M0,1,20.51,420.66,
M0,1,19.68,387.30,
F0,1,19.6,384.16,
M0,1,21.02,441.84,
M0,1,19.48,379.47,
M0,1,20.55,422.30,
M0,1,21.25,451.56,
M0,1,19.88,395.21,
F0,1,25.78,664.61,
M0,1,21.73,472.19,
M0,1,20.31,412.50,
M0,1,21.53,463.54,
M0,1,21.18,448.59,
M0,1,21.69,470.46,
M0,1,21.14,446.90,
F0,1,25.27,638.57,
M0,1,19.8,392.04,
FF,1,21.06,443.52,
F0,1,22.83,521.21,
MM,1,20.47,419.02,
M0,1,20.9,436.81,
F0,1,22.44,503.55,
F0,1,18.81,353.82,
M0,1,21.92,480.49,
M0,1,20.07,402.80,
F0,1,26.88,722.53,
M0,1,22.91,524.87,
M0,1,18.11,327.97,
M0,1,19.21,369.02,
M0,1,16.57,274.56,
F0,1,19.21,369.02,
M0,1,21.33,454.97,
M0,1,20.19,407.64,
M0,1,17.79,316.48,
U0,1,15.98,255.36,
F0,1,22.4,501.76,
M0,1,18.77,352.31,
M0,1,18.3,334.89,
M0,1,22.55,508.50,
F0,1,22.63,512.12,
M0,1,22.32,498.18,
M0,1,16.88,284.93,
F0,1,22.36,499.97,
M0,1,23.03,530.38,
M0,1,20.19,407.64,
M0,1,18.34,336.36,
M0,1,18.62,346.70,
F0,1,18.81,353.82,
M0,1,19.4,376.36,
M0,1,19.21,369.02,
F0,1,19.88,395.21,
F0,1,19.68,387.30,
M0,1,24.17,584.19,
M0,1,17.04,290.36,
M0,1,19.25,370.56,
F0,1,22.44,503.55,
M0,1,18.54,343.73,
M0,1,21.06,443.52,
M0,1,20.86,435.14,
M0,1,22.16,491.07,
F0,1,21.33,454.97,
M0,1,21.92,480.49,
M0,1,22.04,485.76,
M0,1,24.05,578.40,
F0,1,22.59,510.31,
M0,1,18.3,334.89,
M0,1,21.61,466.99,
M0,1,20.27,410.87,
F0,1,23.54,554.13,
MM,1,23.26,541.03,
M0,1,20.23,409.25,
M0,1,19.6,384.16,
M0,1,21.18,448.59,
M0,1,20.19,407.64,
M0,1,22.16,491.07,
M0,1,23.7,561.69,
M0,1,21.49,461.82,
M0,1,19.68,387.30,
M0,1,16.77,281.23,
F0,1,26.37,695.38,
M0,1,18.74,351.19,
M0,1,23.07,532.22,
M0,1,20.66,426.84,
F0,1,23.11,534.07,
M0,1,20.19,407.64,
M0,1,22.87,523.04,
M0,1,23.38,546.62,
M0,1,20.66,426.84,
M0,1,20.51,420.66,
M0,1,17.32,299.98,
M0,1,17.16,294.47,
M0,1,21.33,454.97,
M0,1,21.06,443.52,
M0,1,19.29,372.10,
M0,1,19.37,375.20,
M0,1,20.98,440.16,
F0,1,23.66,559.80,
M0,1,19.21,369.02,
F0,1,23.54,554.13,
M0,1,20.98,440.16,
M0,1,19.92,396.81,
M0,1,23.62,557.90,
M0,1,19.72,388.88,
M0,1,20.11,404.41,
F0,1,20.66,426.84,
F0,1,20.47,419.02,
M0,1,22.04,485.76,
M0,1,21.33,454.97,
M0,1,20.43,417.38,
M0,1,21.33,454.97,
M0,1,22.87,523.04,
M0,1,22.32,498.18,
M0,1,24.01,576.48,
M0,1,18.97,359.86,
M0,1,21.65,468.72,
M0,1,20.62,425.18,
F0,1,19.56,382.59,
F0,1,21.41,458.39,
M0,1,18.14,329.06,
M0,1,16.49,271.92,
F0,1,25.11,630.51,
M0,1,20.62,425.18,
M0,1,21.06,443.52,
F0,1,22.59,510.31,
F0,1,20.55,422.30,
M0,1,15.94,254.08,
M0,1,20.78,431.81,
M0,1,20.47,419.02,
F0,1,23.42,548.50,
M0,1,21.29,453.26,
F0,1,21.85,477.42,
M0,1,20.35,414.12,
M0,1,20.31,412.50,
M0,1,17.48,305.55,
M0,1,23.62,557.90,
M0,1,19.29,372.10,
M0,1,20.31,412.50,
M0,1,20.35,414.12,
M0,1,22.44,503.55,
F0,1,20.39,415.75,
F0,1,21.33,454.97,
M0,1,23.14,535.46,
M0,1,18.22,331.97,
M0,1,21.02,441.84,
M0,1,19.17,367.49,
M0,1,22.87,523.04,
M0,1,24.01,576.48,
M0,1,20.78,431.81,
F0,1,20.55,422.30,
M0,1,21.92,480.49,
M0,1,22.63,512.12,
F0,1,22.44,503.55,
M0,1,22.12,489.29,
M0,1,22.59,510.31,
M0,1,19.25,370.56,
M0,1,18.11,327.97,
M0,1,22.99,528.54,
F0,1,26.49,701.72,
F0,1,16.41,269.29,
F0,1,20.86,435.14,
F0,1,21.53,463.54,
F0,1,22.28,496.40,
F0,1,20.9,436.81,
M0,1,21.96,482.24,
F0,1,20.31,412.50,
M0,1,15.31,234.40,
F0,1,25.07,628.50,
M0,1,23.38,546.62,
F0,1,21.85,477.42,
M0,1,22.95,526.70,
M0,1,19.52,381.03,
M0,1,17.99,323.64,
M0,1,21.22,450.29,
M0,1,18.77,352.31,
M0,1,22.67,513.93,
M0,1,22.83,521.21,
M0,1,18.89,356.83,
M0,1,22.55,508.50,
M0,1,22.63,512.12,
M0,1,21.65,468.72,
M0,1,16.49,271.92,
M0,1,22.12,489.29,
F0,1,21.57,465.26,
F0,1,21.14,446.90,
M0,1,20.39,415.75,
M0,1,21.29,453.26,
F0,1,18.26,333.43,
M0,1,19.29,372.10,
M0,1,20.78,431.81,
M0,1,22.44,503.55,
M0,1,20.66,426.84,
M0,1,21.65,468.72,
F0,1,21.73,472.19,
M0,1,22.08,487.53,
M0,1,19.48,379.47,
M0,1,20.66,426.84,
F0,1,22.67,513.93,
F0,1,18.11,327.97,
F0,1,18.22,331.97,
F0,1,20.03,401.20,
M0,1,16.45,270.60,
M0,1,20.51,420.66,
M0,1,19.68,387.30,
M0,1,22.91,524.87,
M0,1,21.33,454.97,
M0,1,17.4,302.76,
M0,1,21.73,472.19,
M0,1,21.41,458.39,
M0,1,20.86,435.14,
M0,1,20.78,431.81,
M0,1,22.63,512.12,
M0,1,14.84,220.23,
M0,1,20.66,426.84,
M0,1,21.22,450.29,
M0,1,19.68,387.30,
M0,1,19.64,385.73,
F0,1,19.09,364.43,
M0,1,21.85,477.42,
F0,1,24.01,576.48,
F0,1,22.87,523.04,
M0,1,20.82,433.47,
M0,1,20.27,410.87,
F0,1,20.86,435.14,
M0,1,19.13,365.96,
M0,1,19.56,382.59,
M0,1,22.12,489.29,
M0,1,20.51,420.66,
M0,1,22.04,485.76,
M0,1,22.12,489.29,
M0,1,19.92,396.81,
M0,1,21.92,480.49,
M0,1,19.84,393.63,
M0,1,20.23,409.25,
M0,1,16.53,273.24,
M0,1,21.02,441.84,
M0,1,24.29,590.00,
M0,1,20.59,423.95,
M0,1,22.83,521.21,
M0,1,18.07,326.52,
M0,1,21.65,468.72,
M0,1,22.28,496.40,
F0,1,22.55,508.50,
M0,1,17.32,299.98,
M0,1,15.86,251.54,
F0,1,20.62,425.18,
F0,1,25.03,626.50,
M0,1,17.32,299.98,
F0,1,24.44,597.31,
M0,1,22.04,485.76,
M0,1,22.32,498.18,
M0,1,19.88,395.21,
M0,1,15.94,254.08,
FF,1,23.42,548.50,
M0,1,17.32,299.98,
F0,1,18.77,352.31,
F0,1,19.48,379.47,
M0,1,19.88,395.21,
M0,1,21.85,477.42,
M0,1,16.1,259.21,
M0,1,20.66,426.84,
M0,1,17.32,299.98,
F0,1,21.06,443.52,
F0,1,22.95,526.70,
M0,1,22.44,503.55,
M0,1,20.47,419.02,
F0,1,22.2,492.84,
F0,1,22.16,491.07,
M0,1,16.29,265.36,
F0,1,19.52,381.03,
M0,1,14.92,222.61,
F0,1,18.93,358.34,
F0,1,25.07,628.50,
F0,1,21.69,470.46,
M0,1,17.91,320.77,
M0,1,17.32,299.98,
M0,1,21.33,454.97,
FF,1,20.23,409.25,
F0,1,28.54,814.53,
M0,1,18.77,352.31,
F0,1,24.92,621.01,
M0,1,25,625.00,
M0,1,16.61,275.89,
M0,1,20.66,426.84,
M0,1,16.02,256.64,
M0,1,23.77,565.01,
M0,1,17.99,323.64,
M0,1,16.61,275.89,
F0,1,21.65,468.72,
M0,1,20.07,402.80,
M0,1,17.12,293.09,
F0,1,18.38,337.82,
F0,1,20.66,426.84,
M0,1,17.12,293.09,
M0,1,21.06,443.52,
M0,1,16.73,279.89,
M0,1,19.88,395.21,
M0,1,15.55,241.80,
M0,1,19.21,369.02,
M0,1,18.18,330.51,
F0,1,23.34,544.76,
M0,1,17.99,323.64,
M0,1,17.67,312.23,
F0,1,18.85,355.32,
F0,1,21.85,477.42,
M0,1,20.07,402.80,
M0,1,16.06,257.92,
F0,1,22.04,485.76,
F0,1,21.65,468.72,
M0,1,15.55,241.80,
F0,1,18.3,334.89,
F0,1,21.29,453.26,
M0,1,15.82,250.27,
M0,1,15.94,254.08,
M0,1,16.81,282.58,
M0,1,17.12,293.09,
M0,1,17.08,291.73,
M0,1,16.65,277.22,
F0,1,25.27,638.57,
M0,1,18.58,345.22,
M0,1,16.37,267.98,
M0,1,16.14,260.50,
M0,1,20.15,406.02,
M0,1,20.66,426.84,
F0,1,18.46,340.77,
M0,1,16.53,273.24,
M0,1,20.31,412.50,
M0,1,17,289.00,
F0,1,20.78,431.81,
F0,1,26.18,685.39,
F0,1,26.96,726.84,
M0,1,18.38,337.82,
M0,1,21.57,465.26,
M0,1,22.24,494.62,
M0,1,20.27,410.87,
M0,1,19.01,361.38,
M0,1,20.31,412.50,
M0,1,20.07,402.80,
M0,1,16.61,275.89,
F0,1,17.32,299.98,
M0,1,14.29,204.20,
M0,1,21.41,458.39,
F0,1,26.37,695.38,
M0,1,19.76,390.46,
M0,1,19.52,381.03,
M0,1,19.48,379.47,
F0,1,16.02,256.64,
M0,1,20.78,431.81,
F0,1,19.01,361.38,
M0,1,19.68,387.30,
M0,1,17.75,315.06,
M0,1,19.76,390.46,
M0,1,19.88,395.21,
M0,1,20.11,404.41,
M0,1,21.77,473.93,
M0,1,16.77,281.23,
M0,1,21.1,445.21,
M0,1,19.96,398.40,
M0,1,16.02,256.64,
M0,1,19.13,365.96,
F0,1,18.7,349.69,
M0,1,17.08,291.73,
M0,1,19.09,364.43,
M0,1,15.62,243.98,
M0,1,17.91,320.77,
M0,1,16.45,270.60,
M0,1,16.06,257.92,
F0,1,22.44,503.55,
M0,1,16.22,263.09,
M0,1,22.24,494.62,
F0,1,18.5,342.25,
F0,1,23.3,542.89,
F0,1,23.7,561.69,
F0,1,23.3,542.89,
F0,1,26.14,683.30,
F0,1,21.33,454.97,
F0,1,23.26,541.03,
F0,1,22.44,503.55,
M0,1,16.45,270.60,
M0,1,17.75,315.06,
F0,1,20.9,436.81,
F0,1,18.89,356.83,
M0,1,15.7,246.49,
F0,1,18.38,337.82,
M0,1,21.1,445.21,
M0,1,16.33,266.67,
F0,1,17.71,313.64,
M0,1,17.2,295.84,
M0,1,19.68,387.30,
M0,1,15.9,252.81,
M0,1,15.11,228.31,
M0,1,18.26,333.43,
M0,1,16.33,266.67,
M0,1,16.92,286.29,
F0,1,19.48,379.47,
F0,1,20.59,423.95,
M0,1,19.88,395.21,
F0,1,20.9,436.81,
F0,1,21.69,470.46,
M0,1,15.86,251.54,
M0,1,15.59,243.05,
M0,1,15.82,250.27,
M0,1,19.05,362.90,
F0,1,21.06,443.52,
M0,1,20.66,426.84,
F0,1,19.68,387.30,
F0,1,21.06,443.52,
M0,1,22.91,524.87,
M0,1,17.2,295.84,
M0,1,16.14,260.50,
M0,1,17.79,316.48,
M0,1,14.29,204.20,
F0,1,18.46,340.77,
M0,1,16.37,267.98,
M0,1,20.7,428.49,
F0,1,19.09,364.43,
M0,1,19.48,379.47,
M0,1,15.11,228.31,
M0,1,19.72,388.88,
M0,1,18.93,358.34,
M0,1,17.32,299.98,
M0,1,17.04,290.36,
M0,1,17.32,299.98,
M0,1,21.85,477.42,
M0,1,18.11,327.97,
F0,1,20.19,407.64,
M0,1,15.7,246.49,
M0,1,20.66,426.84,
M0,1,17.12,293.09,
M0,1,19.33,373.65,
M0,1,21.06,443.52,
M0,1,16.29,265.36,
M0,1,19.4,376.36,
M0,1,14.21,201.92,
M0,1,17.4,302.76,
M0,1,16.73,279.89,
M0,1,21.92,480.49,
M0,1,20.07,402.80,
M0,1,21.1,445.21,
M0,1,16.96,287.64,
F0,1,25,625.00,
M0,1,19.88,395.21,
M0,1,16.96,287.64,
F0,1,21.1,445.21,
F0,1,19.17,367.49,
M0,1,16.85,283.92,
F0,1,25.11,630.51,
F0,1,20.98,440.16,
M0,1,17.75,315.06,
M0,1,16.96,287.64,
F0,1,19.44,377.91,
F0,1,20,400.00,
M0,1,18.03,325.08,
F0,1,19.01,361.38,
M0,1,17.59,309.41,
M0,1,17.32,299.98,
M0,1,16.41,269.29,
M0,1,17.91,320.77,
M0,1,19.05,362.90,
FF,1,21.88,478.73,
M0,1,22.24,494.62,
F0,1,22.04,485.76,
M0,1,16.81,282.58,
M0,1,20.51,420.66,
M0,1,16.96,287.64,
M0,1,20.94,438.48,
M0,1,21.22,450.29,
M0,1,15.78,249.01,
M0,1,20.47,419.02,
M0,1,17.75,315.06,
M0,1,17.32,299.98,
M0,1,17.04,290.36,
F0,1,20.9,436.81,
M0,1,19.56,382.59,
F0,1,23.5,552.25,
F0,1,24.6,605.16,
F0,1,21.61,466.99,
F0,1,22.83,521.21,
M0,1,20.31,412.50,
F0,1,19.4,376.36,
F0,1,21.25,451.56,
F0,1,20.07,402.80,
M0,1,15.03,225.90,
F0,1,18.54,343.73,
FF,1,17.79,316.48,
M0,1,18.5,342.25,
M0,1,19.48,379.47,
M0,1,18.89,356.83,
F0,1,18.11,327.97,
M0,1,16.02,256.64,
M0,1,17.91,320.77,
M0,1,17.04,290.36,
F0,1,25.59,654.85,
M0,1,20.66,426.84,
F0,1,24.96,623.00,
F0,1,22.99,528.54,
M0,1,21.88,478.73,
F0,1,21.25,451.56,
M0,1,16.18,261.79,
F0,1,19.84,393.63,
F0,1,21.06,443.52,
F0,1,24.37,593.90,
M0,1,21.22,450.29,
F0,1,25.39,644.65,
F0,1,22.32,498.18,
F0,1,20.27,410.87,
M0,1,19.8,392.04,
F0,1,26.49,701.72,
F0,1,22.16,491.07,
M0,1,23.38,546.62,
F0,1,22.32,498.18,
F0,1,25.27,638.57,
FF,1,19.84,393.63,
F0,1,18.5,342.25,
F0,1,20.19,407.64,
F0,1,22.83,521.21,
F0,1,23.07,532.22,
